graph_id,graph_id_2
13157,13001
TA1307000130,15668
KA1503000022,13278
TA1305000011,13001
13163,TA1305000017
13061,TA1306000007
13134,13341
TA1309000030,23001
TA1309000011,KA1503000031
20228,20230
13341,TA1308000031
13137,TA1307000150
TA1308000029,TA1305000032
TA1305000009,KA1503000043
TA1307000064,TA1305000030
KA1503000034,TA1307000062
TA1309000014,TA1307000107
RN-,TA1306000008
13150,624
TA1307000120,13331
SL-010,13430
519,KA1504000175
13063,chargingstx3
TA1307000163,13325
KA1504000104,13158
TA1305000025,23001
TA1307000062,TA1306000006
TA1309000066,KA1504000149
TA1308000029,15544
20125,20207
620,KA1504000133
KA1504000079,15529
TA1307000111,KA1504000116
13193,TA1309000042
TA1306000032,TA1306000015
13137,13193
TA1306000016,TA1305000014
TA1307000111,13050
13192,chargingstx0
SL-011,13050
13248,13243
23003,13133
TA1306000014,TA1305000032
13016,TA1307000151
13045,KA1503000072
474,565
13036,15529
KA1503000044,TA1309000019
TA1307000139,13056
TA1309000007,TA1309000002
13156,13053
KA1503000012,TA1307000151
TA1307000158,13059
13430,13242
TA1309000041,15578
TA1307000163,13278
637,13247
13084,13243
TA1309000002,13431
TA1307000161,TA1308000013
SL-007,TA1307000120
20245,20234
658,17660
15628,TA1307000039
TA1306000014,TA1307000039
13353,TA1307000120
13194,13037
TA1305000002,13341
KA1504000151,523
TA1307000142,TA1306000012
13029,TA1307000166
TA1306000013,13206
TA1309000019,15571
TA1309000010,623
TA1307000117,13061
13128,TA1306000032
13338,KA1503000043
TA1309000006,13053
KA1503000022,13325
TA1309000004,TA1306000003
KA1504000142,18016
KA1503000031,999
KA1503000066,13303
WL-011,331
13276,13084
TA1307000142,13158
13191,TA1305000041
TA1309000010,TA1305000010
13146,13008
E002,E011
TA1309000033,21544
13124,13022
TA1308000029,TA1307000039
KP1705001026,13154
KA1504000143,TA1307000136
13229,13146
15534,13056
13136,13245
13248,13053
KA150400009X,15621
13050,636
KA1504000149,TA1307000158
13053,13206
KA1504000161,15615
13081,13354
TA1307000041,13034
13045,13229
KA1503000043,13061
13235,TA1307000136
13016,331
TA1305000002,TA1307000044
632,TA1306000009
TA1309000055,15443
SL-006,13099
TA1305000039,TA1309000033
13150,TA1305000005
13265,13338
TA1309000049,13379
TA1307000041,TA1309000061
TA1309000042,KA1504000090
13224,13271
TA1307000117,TA1306000006
636,KA1504000143
638,TA1307000038
TA1307000041,LF-005
350,350
KA1504000134,TA1307000127
,430
KA17018054,13432
KA1503000072,TA1309000004
15664,15668
TA1307000111,TA1309000064
TA1306000015,TA1309000024
TA1307000062,KA1504000093
13243,16010
15550,21544
TA1305000032,SL-007
13221,TA1306000032
13050,13197
KA17018068,13144
644,TA1307000130
TA1309000004,13263
15597,KA1503000047
TA1306000007,TA1308000001
TA1306000009,TA1307000166
TA1306000015,TA1309000033
SL-011,TA1305000002
623,TA1307000124
13001,TA1307000111
13058,TA1309000004
13022,15530
TA1307000111,TA1305000002
TA1307000001,TA1307000064
13249,TA1307000052
WL-011,TA1307000151
585,586
13229,13235
TA1309000030,TA1306000016
13028,13135
13196,21544
13197,13266
TA1305000014,13296
TA1309000033,13379
20257.0,TA1309000043
21544,TA1306000012
TA1309000007,RN-
TA1307000111,13434
chargingstx4,TA1307000038
TA1309000008,13206
TA1307000062,13061
13135,SL-010
TA1305000010,TA1309000027
507,18067
TA1309000041,TA1309000014
KA1503000034,WL-012
13053,13192
13071,20257.0
13132,15664
21544,13158
KA1504000146,13058
13017,TA1305000029
20257.0,TA1309000042
488,KA1504000146
KA1503000071,KA1503000004
13146,13128
13058,TA1308000005
13263,18003
620,13409
13154,TA1305000041
13050,TA1307000117
13303,18003
TA1307000150,439
KA1503000020,TA1308000009
13253,TA1307000151
15653,13243
TA1308000036,LF-005
13323,KA150400009X
13249,TA1309000012
13058,KP1705001026
13289,18003
13278,TA1308000022
13021,13021
TA1305000020,13221
TA1309000006,13138
KA150400009X,13277
TA1306000008,13045
TA1305000011,15643
SL-011,15550
15651,TA1305000005
13156,13016
TA1309000012,TA1307000158
RP-009,15578
13156,13138
15443,
624,13221
KA1503000072,KP1705001026
TA1309000006,13016
TA1305000034,TA1309000025
TA1309000035,13249
13059,TA1309000041
TA1307000159,WL-008
TA1307000039,TA1305000011
15534,13197
13132,KA1504000103
638,TA1307000115
15544,TA1307000166
KA1503000072,TA1306000015
KP1705001026,TA1306000013
,13420
KA1504000175,KA1504000159
TA1307000117,13303
13080,13085
13221,TA1309000030
TA1306000003,WL-011
TA1308000013,15442
16806,RP-004
,20254.0
13158,KA1503000015
KA1504000103,TA1307000070
15539,13206
662,599
13036,13006
13135,
TA1309000025,13146
KA1503000044,TA1305000025
15628,TA1305000006
TA1309000055,KA1503000005
559,594
13139,TA1307000120
TA1307000150,TA1306000032
TA1307000064,KA1504000151
TA1309000064,13068
SL-013,13216
TA1305000022,620
TA1306000029,13194
TA1308000049,TA1309000026
13073,13194
KA1504000135,13229
TA1305000022,13248
TA1308000050,13068
13132,TA1305000030
13056,KA17018068
TA1307000134,TA1307000038
chargingstx4,TA1307000115
15648,639
TA1305000034,13192
13206,13353
,TA1305000041
13133,13193
TA1309000019,TA1306000015
KA1504000133,TA1307000061
,839
KA1706005007,TA1308000036
TA1309000008,631
TA1308000029,TA1305000006
WL-012,13042
13017,TA1306000011
13197,TA1306000010
13432,TA1309000021
15534,TA1307000117
TA1305000004,TA1308000050
KA1504000097,KA1706005015
TA1305000017,364.0
1030,757
TA1309000023,13156
TA1305000010,TA1306000010
13155,21544
TA1305000025,13157
TA1309000025,13235
TA1307000039,TA1308000050
TA1305000009,TA1305000010
13319,13427
15634,13277
TA1307000120,13132
654,13073
420,
13278,TA1307000129
13288,18058
TA1305000017,13285
TA1309000064,TA1307000121
,931
329.0,13292
13132,TA1306000025
TA1305000009,623
chargingstx5,13143
KA1504000103,WL-012
TA1305000006,13221
KA1504000078,15632
RP-006,KA1504000159
23003,KA1504000133
TA1307000041,TA1307000163
15621,KA1504000080
13326,TA1307000120
13037,TA1309000010
TA1308000001,13325
RN-,TA1309000008
KA1504000162,KA1504000151
TA1309000025,LP-
620,13133
13164,TA1306000010
TA1306000026,13253
13257,TA1309000024
TA1309000058,20254.0
TA1305000030,TA1305000035
KA1503000044,TA1307000128
KA1503000043,13303
TA1307000038,TA1308000049
TA1309000043,TA1309000030
638,TA1307000124
13242,13045
13325,KA1504000158
13248,13016
13217,13420
021320,15535
13022,
TA1307000134,TA1309000041
332.0,
TA1308000021,TA1309000066
TA1307000151,TA1305000034
13016,TA1309000021
TA1305000039,13277
TA1305000011,TA1308000009
KA1504000135,KA1503000072
TA1307000151,TA1309000058
21544,KA1503000041
13265,TA1306000009
660,KA1504000093
TA1307000131,KA1503000015
KA1504000135,chargingstx1
TA1306000015,13277
TA1309000010,KA1503000043
TA1305000005,TA1309000010
KA1504000160,16991
632,13338
TA1309000050,20252.0
18017,13085
13277,TA1309000050
TA1309000058,TA1305000041
TA1307000136,TA1307000136
TA1309000007,13137
662,E006
TA1308000001,13278
20115,
13194,13194
TA1309000014,chargingstx5
13338,TA1305000010
15530,TA1307000120
13034,TA1307000158
TA1305000029,13431
KA1504000151,TA1307000107
TA1306000013,TA1309000008
TA1309000042,TA1307000127
TA1307000120,TA1307000151
KA1503000022,TA1307000142
,15686
TA1309000019,TA1307000128
TA1307000070,13080
TA1307000001,TA1307000151
TA1309000007,13138
13154,TA1306000016
TA1308000009,13300
13163,KA1504000078
13150,
TA1305000025,TA1305000041
TA1305000035,TA1309000043
TA1307000127,13325
13398,13022
13050,13056
13430,TA1307000052
15575,13277
TA1307000151,KA1503000044
TA1305000009,13263
519,RP-007
15578,TA1307000134
13300,TA1307000150
13053,SL-005
658,TA1307000111
TA1309000001,WL-011
15650,517
TA1309000039,202480.0
13134,13006
13134,KA1504000106
18058,KA1504000135
TA1308000050,21544
KA1503000070,TA1309000063
13071,
13017,13034
TA1309000012,TA1309000014
13016,15541
13154,13276
TA1305000014,LF-005
13102,13300
13289,TA1305000029
13300,13075
TA1308000035,13300
TA1309000030,TA1305000041
13033,13084
13017,TA1309000061
13146,TA1307000006
TA1305000030,13163
13073,13242
TA1309000004,13325
17660,13258
TA1307000163,TA1307000142
TA1307000041,13296
TA1309000064,13158
15571,458
TA1306000010,13036
KA1503000072,TA1307000128
TA1309000021,TA1309000018
13266,658
TA1307000163,TA1306000003
KA1503000038,15442
678,
KA1503000064,TA1306000029
13341,13045
13263,13229
13001,13056
13197,13290
TA1309000058,13063
15446,15442
13133,TA1306000026
KA1504000133,KA1503000012
13277,TA1307000038
13164,TA1308000013
TA1309000008,SL-005
TA1308000050,TA1306000012
TA1307000156,KA1504000093
13196,KA1503000034
TA1306000009,TA1307000150
13430,KA1504000134
13155,13001
13194,TA1307000039
TA1306000009,13193
WL-008,13128
15530,TA1309000058
15446,TA1305000002
491,TA1309000015
TA1307000151,TA1307000120
13192,23003
TA1307000150,TA1309000042
13192,TA1307000126
TA1305000002,13006
TA1309000039,13325
13109,TA1309000035
